doi,authors
10.1177/0081246320937684,"['Anthony L. Pillay', 'Brendon Barnes']"
10.1080/15332980903217883,['Jayshree S. Jani']
10.1177/09720634231153210,"['Jeetendra Yadav', 'Shaziya Allarakha', 'Denny John', 'Geetha R. Menon', 'Chitra Venkateswaran', 'Ravinder Singh']"
10.1093/jmt/8.1.35,['Russell Gray']
10.2307/2074533,"['Bruce Bellingham', 'Aletha C. Huston']"
10.1111/j.1467-8721.2006.00433.x,"['Carolyn E. Cutrona', 'Gail Wallace', 'Kristin A. Wesner']"
10.1016/j.socscimed.2010.03.023,"['Mark Eggerman', 'Catherine Panter‐Brick']"
10.1111/j.1540-6237.2009.00645.x,"['Colleen Heflin', 'John Iceland']"
10.15585/mmwr.ss7101a1,"['Asha Z. Ivey-Stephenson', 'Alex E. Crosby', 'Jennifer M. Hoenig', 'Shiromani Gyawali', 'Eunice Park‐Lee', 'Sarra L. Hedden']"
10.1080/02615479.2022.2131036,['Sohi Gurjot']
10.1097/01.nep.0000000000000360,"['Kim Link', 'Kara Haughtigan', 'Dawn Garrett-Wright']"
10.1111/j.1939-0025.2010.01002.x,"['Lisa A. Goodman', 'Katya Fels Smyth', 'Victoria L. Banyard']"
10.1080/14330237.2014.906078,['Jacqueline Moodley']
10.1016/j.socscimed.2023.116102,"['Leyla Karimli', 'Fred M. Ssewamala', 'Torsten B. Neilands']"
10.1177/1359105307076237,"['Alan J. Flisher', 'Crick Lund', 'Michelle Funk', 'Mwanza Banda', 'Arvin Bhana', 'Victor Doku', 'Natalie Drew', 'Fred Kigozi', 'Martín Knapp', 'Mayeh Omar', 'Inge Petersen', 'Andrew Green']"
10.1007/s00127-021-02043-7,"['Annette Bauer', 'Ricardo Araya', 'Mauricio Avendaño', 'Yadira Díaz', 'Emily Garman', 'Philipp Hessel', 'Crick Lund', 'Paulo Artur Malvasi', 'Alícia Matijasevich', 'David McDaid', 'A‐La Park', 'Cristiane Silvestre Paula', 'Annie Zimmerman', 'Sara Evans‐Lacko']"
10.1080/15374416.2022.2073235,"['Martha E. Wadsworth', 'Jarl A. Ahlkvist', 'Damon Jones', 'Holly T. Pham', 'Adithi Rajagopalan', 'Breana G. Genaro']"
10.7870/cjcmh-1990-0021,"['Marcia Rioux', 'Cameron Crawford']"
10.3389/fenrg.2022.944415,"['Wangzi Xu', 'Baiwei Xie', 'Bailu Lou', 'Weizheng Wang', 'Yuzi Wang']"
10.1037/0002-9432.76.3.358,"['Richard P. Barth', 'Judy Wildfire', 'Rebecca L. Green']"
10.1097/00001504-200107000-00011,['David R. Offord']
10.1177/002214650404500204,"['Kristine Siefert', 'Colleen Heflin', 'Mary E. Corcoran', 'David R. Williams']"
10.1007/s10901-021-09852-x,"['Lisa Garnham', 'Steve Rolfe', 'Isobel Anderson', 'Pete Seaman', 'Jon Godwin', 'Cam Donaldson']"
10.1192/s1749367600000382,"['Fred Kigozi', 'Joshua Ssebunnya']"
10.1086/588741,"['Jens Ludwig', 'Jeffrey B. Liebman', 'Jeffrey R. Kling', 'Greg J. Duncan', 'Lawrence F. Katz', 'Ronald C. Kessler', 'Lisa Sanbonmatsu']"
10.1017/s1049023x00008141,"['Weiwei Du', 'Gerard FitzGerald', 'Michele Clark', 'Xiang‐Yu Hou']"
10.1177/0003122419859533,['Neil Gong']
